;AGE;INCOME;GENDER;MARITAL;NUMKIDS;NUMCARDS;HOWPAID;MORTGAGE;STORECAR;LOANS;RISK
115;Old;Middle;f;divsepwid;Three;Five;weekly;n;Three;Three;bad profit
116;Old;Middle;m;divsepwid;Three;Five;weekly;n;Four;Three;bad loss
117;Middle;Middle;m;divsepwid;Two;Five;weekly;n;Three;Three;bad profit
118;Old;Middle;m;divsepwid;Three;Five;weekly;y;Three;Three;good risk
119;Old;Middle;f;divsepwid;Three;Five;weekly;y;Three;Two;bad profit
120;Old;Middle;m;divsepwid;Three;Six;weekly;n;Three;Three;bad profit
121;Young;Middle;f;single;Zero;One;monthly;y;One;Zero;good risk
122;Middle;Middle;m;single;Zero;Zero;monthly;y;Two;Zero;bad profit
123;Old;Middle;m;divsepwid;Two;Five;weekly;n;Three;Two;bad loss
124;Middle;Middle;f;divsepwid;Four;Six;weekly;y;Three;Three;good risk
125;Middle;Middle;f;single;Zero;Zero;monthly;y;One;Zero;bad profit
126;Old;Middle;f;married;Three;Four;monthly;y;Four;One;bad loss
127;Old;Middle;f;divsepwid;Three;Six;weekly;n;Four;Three;bad profit
128;Young;Middle;f;single;Zero;Zero;monthly;y;Zero;Zero;good risk
129;Old;Middle;f;married;Three;Four;monthly;y;Four;Two;bad loss
130;Middle;Middle;m;single;Zero;One;monthly;y;Two;Zero;good risk
131;Old;Middle;f;divsepwid;Three;Six;weekly;n;Five;Three;bad loss
132;Middle;Middle;m;divsepwid;Three;Six;weekly;y;Four;Three;good risk
133;Old;Middle;f;divsepwid;Four;Six;weekly;y;Five;Three;bad profit
134;Old;Middle;m;divsepwid;Three;Six;weekly;n;Three;Two;bad profit
135;Old;Middle;m;divsepwid;Four;Five;weekly;n;Five;Three;bad profit
136;Old;Middle;m;divsepwid;Three;Six;weekly;n;Four;Two;bad loss
137;Old;Middle;m;married;Three;Four;weekly;y;Four;Two;bad loss
138;Middle;Middle;m;divsepwid;Two;Five;weekly;y;Five;Three;good risk
139;Old;Middle;m;divsepwid;Two;Six;weekly;y;Three;Three;bad profit
140;Old;Middle;f;divsepwid;Four;Six;weekly;n;Four;Two;bad loss
141;Old;Middle;f;divsepwid;Two;Five;weekly;y;Four;Two;good risk
142;Old;Middle;m;divsepwid;Four;Five;weekly;y;Four;Two;good risk
143;Old;Middle;m;divsepwid;Two;Six;weekly;n;Three;Two;good risk
144;Old;Middle;f;divsepwid;Two;Five;weekly;y;Five;Two;bad profit
145;Young;Middle;m;married;Three;Four;monthly;y;Five;Two;bad loss
146;Middle;Middle;m;single;Zero;One;monthly;y;One;Zero;good risk
147;Old;Middle;f;married;Two;Three;monthly;y;Four;One;bad loss
148;Old;Middle;f;married;Three;Three;weekly;y;Four;One;bad profit
149;Young;Middle;m;divsepwid;Two;Five;weekly;n;Four;Three;bad loss
150;Middle;Middle;m;divsepwid;Two;Five;weekly;y;Five;Two;good risk
151;Old;Middle;m;married;Two;Four;monthly;y;Four;One;bad loss
152;Middle;Middle;m;single;Zero;One;monthly;y;One;Zero;good risk
153;Old;Middle;f;divsepwid;Four;Five;weekly;n;Three;Three;bad profit
154;Middle;Middle;m;married;Three;Three;monthly;y;Five;Two;bad loss
155;Middle;Middle;f;married;Three;Four;monthly;y;Five;Two;bad loss
156;Middle;Middle;f;single;Zero;One;monthly;y;Zero;Zero;good risk
157;Middle;Middle;f;married;Two;Three;weekly;y;Five;Two;bad loss
158;Old;Middle;f;married;Two;Four;monthly;y;Five;Two;bad loss
159;Middle;Middle;m;divsepwid;Three;Five;weekly;n;Five;Three;bad profit
160;Old;Middle;m;divsepwid;Two;Six;weekly;y;Five;Three;bad loss
161;Middle;Middle;m;married;Two;Four;weekly;y;Five;Two;bad loss
162;Middle;Middle;m;divsepwid;Two;Five;weekly;y;Four;Three;bad loss
163;Old;Middle;m;divsepwid;Two;Six;weekly;y;Three;Two;bad profit
164;Middle;Middle;m;single;Zero;Three;weekly;y;One;One;bad profit
165;Old;Middle;m;married;Three;Three;monthly;y;Four;Two;bad loss
166;Young;Middle;m;single;One;One;weekly;y;Two;One;bad profit
167;Middle;Middle;m;married;One;Zero;monthly;y;Two;Two;bad profit
168;Young;Middle;f;married;Two;Two;weekly;y;Two;Two;bad profit
169;Old;Middle;m;divsepwid;Four;Five;weekly;n;Four;Three;good risk
170;Young;Middle;m;married;One;Two;monthly;y;Three;One;bad profit
171;Young;Middle;m;married;One;Zero;monthly;y;One;Two;bad profit
172;Young;Middle;f;single;One;Three;monthly;n;One;One;bad profit
173;Young;Middle;f;married;One;Zero;weekly;y;Two;One;bad profit
174;Young;Middle;m;single;One;One;monthly;y;One;One;bad profit
175;Middle;Middle;f;divsepwid;Three;Five;weekly;n;Four;Three;bad loss
176;Young;Middle;m;married;One;Two;weekly;y;One;One;bad profit
177;Young;Middle;m;single;One;One;weekly;y;Two;One;bad profit
178;Young;Middle;f;married;Two;One;weekly;y;Two;One;bad profit
179;Middle;Middle;f;divsepwid;Four;Six;weekly;n;Five;Two;bad loss
180;Old;Middle;m;divsepwid;Three;Six;weekly;y;Five;Three;good risk
181;Young;Middle;m;married;One;One;weekly;y;Two;One;bad profit
182;Young;Middle;m;married;Two;Two;weekly;y;Two;One;bad profit
183;Young;Middle;m;single;Zero;Three;weekly;n;Two;One;bad profit
184;Young;Middle;m;single;One;Three;weekly;y;Three;One;bad profit
185;Young;Middle;f;single;Zero;Three;weekly;y;One;One;bad profit
186;Middle;Middle;f;married;Two;Two;monthly;y;Three;Two;bad loss
187;Young;Middle;m;married;One;Two;weekly;y;Three;One;bad profit
188;Young;Middle;m;single;Zero;Two;weekly;y;One;One;bad profit
189;Old;Middle;m;divsepwid;Four;Five;weekly;y;Three;Two;good risk
190;Young;Middle;f;married;Two;Zero;weekly;y;One;Two;bad profit
191;Old;Middle;f;married;Two;Four;weekly;y;Five;One;bad loss
192;Young;Middle;m;single;Zero;One;monthly;y;One;One;bad profit
193;Young;Middle;f;married;Two;Two;weekly;y;Three;Two;bad profit
194;Young;Middle;f;married;One;Two;weekly;y;One;One;good risk
195;Young;Middle;f;single;Zero;Two;monthly;n;Three;One;bad profit
196;Young;Middle;f;married;Two;Two;weekly;y;One;Two;bad profit
197;Young;Middle;m;single;One;Two;weekly;n;Three;One;bad profit
198;Young;Middle;m;single;Zero;One;weekly;y;One;One;bad profit
199;Middle;Middle;f;divsepwid;Three;Five;weekly;y;Four;Two;bad profit
200;Middle;Middle;f;single;One;One;monthly;n;Three;One;bad profit
201;Young;Middle;f;divsepwid;Three;Six;weekly;n;Three;Two;bad profit
202;Young;Middle;f;married;One;Zero;weekly;y;Three;One;bad profit
203;Young;Middle;m;married;One;Two;weekly;y;Three;Two;bad profit
204;Old;Middle;m;divsepwid;Three;Six;weekly;n;Three;Three;bad loss
205;Young;Middle;f;married;Two;Zero;monthly;y;One;Two;bad profit
206;Young;Middle;m;married;One;Two;weekly;y;Two;Two;bad profit
207;Old;Middle;f;divsepwid;Two;Five;weekly;y;Four;Two;bad profit
208;Young;Middle;m;single;Zero;Two;monthly;y;One;One;bad profit
209;Young;Middle;f;married;One;One;weekly;y;One;One;good risk
210;Young;Middle;m;married;Two;Two;weekly;y;Two;Two;bad profit
211;Middle;Middle;m;married;Two;Four;weekly;y;Four;One;bad loss
212;Young;Middle;f;single;Zero;One;monthly;n;One;One;bad profit
213;Old;Middle;f;divsepwid;Four;Six;weekly;n;Three;Three;bad loss
214;Young;Middle;f;married;One;Zero;monthly;y;One;One;bad profit
215;Old;Middle;f;divsepwid;Two;Five;weekly;n;Five;Three;bad profit
216;Old;Middle;f;divsepwid;Four;Five;weekly;n;Four;Two;bad loss
217;Young;Middle;m;single;Zero;Three;monthly;n;Two;One;bad profit
218;Old;Middle;f;married;Two;Three;monthly;y;Four;Two;bad loss
219;Young;Middle;m;married;One;Two;monthly;y;Three;One;bad profit
220;Young;Middle;m;single;Zero;Three;monthly;n;Three;One;bad loss
221;Young;Middle;m;single;One;Three;monthly;n;One;One;bad profit
222;Young;Middle;m;married;One;Two;weekly;y;One;One;bad profit
223;Young;Middle;m;married;One;One;weekly;y;Three;One;bad profit
224;Young;Middle;m;married;Two;Two;weekly;y;Three;One;bad profit
225;Middle;Middle;m;single;One;One;monthly;y;Two;One;bad profit
226;Young;Middle;m;married;Two;Two;weekly;y;Three;One;bad profit
227;Young;Middle;f;married;One;One;weekly;y;One;One;bad profit
228;Old;Middle;m;married;Three;Three;monthly;y;Five;One;bad loss
229;Middle;Middle;f;single;One;Three;monthly;n;Two;One;bad profit
230;Young;Middle;f;married;One;Zero;monthly;y;One;Two;bad loss
231;Young;Middle;m;married;Two;Two;weekly;y;Three;One;bad profit
232;Young;Middle;m;single;One;One;weekly;y;Two;One;bad profit
233;Young;Middle;m;single;One;Two;monthly;n;Two;One;bad profit
234;Middle;Middle;f;divsepwid;Two;Five;weekly;y;Five;Two;bad profit
235;Young;Middle;f;married;One;Two;weekly;y;Three;Two;bad profit
236;Old;Middle;f;divsepwid;Two;Five;weekly;y;Three;Two;bad loss
237;Old;Middle;m;divsepwid;Three;Five;weekly;n;Three;Three;good risk
238;Middle;Middle;f;married;Two;Four;monthly;y;Five;Two;bad loss
239;Old;Middle;m;married;Two;Four;weekly;y;Four;Two;bad loss
240;Middle;Middle;f;married;Two;Zero;monthly;y;Two;One;bad profit
241;Young;Middle;m;married;Two;Two;monthly;y;One;Two;bad profit
242;Old;Middle;f;divsepwid;Two;Six;weekly;y;Four;Three;good risk
243;Young;Middle;f;married;One;One;weekly;y;One;Two;bad loss
244;Young;Middle;f;single;One;Two;weekly;n;One;One;bad profit
245;Young;Middle;m;married;One;Two;monthly;y;Two;Two;bad profit
246;Young;Middle;f;married;One;Two;monthly;y;Three;One;bad profit
247;Young;Middle;m;single;Zero;Three;monthly;y;One;One;bad profit
248;Young;Middle;f;single;Zero;Three;weekly;y;Two;One;bad profit
249;Young;Middle;f;married;Two;Zero;weekly;y;Two;Two;bad profit
250;Young;Middle;m;married;Two;One;weekly;y;One;Two;bad profit
251;Old;Middle;m;divsepwid;Three;Six;weekly;n;Four;Three;good risk
252;Middle;Middle;f;married;Two;Zero;weekly;y;One;Two;bad profit
253;Middle;Middle;m;single;One;Two;monthly;n;Three;One;bad profit
254;Young;Middle;f;married;One;Zero;weekly;y;Three;Two;bad profit
255;Old;Middle;m;divsepwid;Four;Six;weekly;n;Four;Three;bad profit
256;Young;Middle;f;single;Zero;One;weekly;y;One;One;bad profit
257;Old;Middle;m;divsepwid;Three;Six;weekly;n;Four;Three;bad loss
258;Young;Middle;f;single;Zero;Two;weekly;n;One;One;bad profit
259;Young;Middle;m;single;One;Two;weekly;y;Three;One;bad profit
260;Young;Middle;m;married;Two;Two;weekly;y;Three;One;bad profit
261;Young;Middle;f;married;Two;One;weekly;y;Two;Two;bad profit
262;Old;Middle;m;married;Two;Three;monthly;y;Four;One;bad loss
263;Middle;Middle;m;divsepwid;Four;Five;weekly;y;Four;Three;bad profit
264;Old;Middle;f;married;Two;Four;weekly;y;Five;One;bad loss
265;Old;Middle;m;divsepwid;Three;Five;weekly;n;Three;Three;bad loss
266;Young;Middle;f;married;Two;Two;monthly;y;Three;One;bad profit
267;Old;Middle;m;divsepwid;Two;Five;weekly;y;Three;Two;bad profit
268;Middle;Middle;f;married;Two;One;monthly;y;One;Two;bad loss
269;Middle;Middle;f;married;One;One;monthly;y;Three;Two;bad profit
270;Young;Middle;m;married;One;One;weekly;y;Two;Two;bad profit
271;Young;Middle;f;single;Zero;Two;weekly;n;One;One;bad profit
272;Young;Middle;m;single;Zero;Three;monthly;n;Two;One;bad profit
273;Young;Middle;m;married;One;Two;monthly;y;Two;Two;bad profit
274;Young;Middle;f;married;Two;One;weekly;y;Two;Two;bad profit
275;Young;Middle;m;married;Two;One;weekly;y;Three;One;bad profit
276;Young;Middle;f;single;One;One;weekly;y;One;One;bad profit
277;Young;Middle;m;single;One;One;weekly;n;One;One;bad profit
278;Middle;Middle;f;married;Three;Four;weekly;y;Five;One;bad loss
279;Old;Middle;f;divsepwid;Four;Six;weekly;n;Four;Three;bad profit
280;Young;Middle;m;married;Two;Zero;monthly;y;One;One;bad profit
281;Young;Middle;f;married;One;One;weekly;y;One;Two;bad profit
282;Young;Middle;f;single;Zero;One;weekly;n;Three;One;bad profit
283;Young;Middle;m;single;One;One;monthly;n;One;One;bad profit
284;Young;Middle;m;married;One;Two;monthly;y;Two;One;bad loss
285;Young;Middle;f;single;Zero;One;weekly;n;Three;One;bad profit
286;Young;Middle;f;married;One;Zero;monthly;y;Three;One;bad profit
287;Young;Middle;m;divsepwid;Four;Five;weekly;n;Five;Three;bad profit
288;Young;Middle;f;married;One;One;weekly;y;Two;One;bad profit
289;Young;Middle;m;married;One;One;weekly;y;Three;One;good risk
290;Young;Middle;f;married;One;Zero;monthly;y;Two;One;bad profit
291;Young;Middle;m;single;One;One;monthly;n;Three;One;bad profit
292;Young;Middle;m;married;Two;Zero;monthly;y;Two;One;bad profit
293;Old;Middle;m;divsepwid;Four;Six;weekly;n;Five;Two;bad profit
294;Young;Middle;f;married;One;One;weekly;y;One;One;bad loss
295;Middle;Middle;m;married;One;One;monthly;y;One;Two;bad profit
296;Old;Middle;m;divsepwid;Four;Five;weekly;n;Five;Two;bad profit
297;Young;Middle;f;married;Two;Zero;weekly;y;One;One;bad profit
298;Young;Middle;m;married;Two;Two;weekly;y;Two;One;bad loss
299;Middle;Middle;f;married;One;Zero;monthly;y;One;One;bad profit
300;Middle;Middle;m;married;One;Two;weekly;y;Three;Two;bad profit
301;Middle;Middle;m;single;One;Two;weekly;y;Three;One;bad loss
302;Old;Middle;f;married;Three;Four;weekly;y;Four;Two;bad loss
303;Young;Middle;f;single;Zero;One;weekly;n;Three;One;bad profit
304;Young;Middle;m;married;Two;Zero;weekly;y;One;Two;bad profit
305;Young;Middle;f;single;Zero;One;monthly;n;One;One;bad profit
306;Young;Middle;m;married;One;One;weekly;y;Two;Two;bad loss
307;Young;Middle;f;married;One;Zero;weekly;y;One;Two;bad loss
308;Old;Middle;f;divsepwid;Three;Six;weekly;y;Four;Three;good risk
309;Young;Middle;f;married;One;Two;weekly;y;Two;One;bad profit
310;Young;Middle;f;single;Zero;Three;weekly;n;Two;One;bad profit
311;Old;Middle;f;divsepwid;Two;Five;weekly;y;Four;Three;bad profit
312;Young;Middle;f;single;One;One;monthly;n;Three;One;bad profit
313;Young;Middle;f;married;One;Zero;monthly;y;Two;Two;bad profit
314;Young;Middle;f;single;One;Three;monthly;n;One;One;bad profit
315;Old;Middle;f;divsepwid;Three;Six;weekly;n;Three;Three;bad loss
316;Young;Middle;m;single;One;Two;weekly;n;Two;One;bad profit
317;Young;Middle;f;single;One;Three;weekly;y;Two;One;bad profit
318;Young;Middle;m;married;Two;Zero;monthly;y;One;One;bad profit
319;Young;Middle;f;single;One;Two;weekly;n;Three;One;bad loss
320;Old;Middle;f;divsepwid;Two;Five;weekly;y;Five;Three;bad loss
321;Old;Middle;m;divsepwid;Four;Six;weekly;y;Four;Three;bad loss
322;Young;Middle;f;married;One;One;weekly;y;One;One;bad profit
323;Young;Middle;m;single;One;Two;monthly;n;One;One;bad profit
324;Young;Middle;f;married;Two;Two;weekly;y;One;Two;bad profit
325;Young;Middle;f;married;One;One;monthly;y;Two;One;bad profit
326;Old;Middle;m;married;Three;Three;monthly;y;Four;Two;bad profit
327;Middle;Middle;m;divsepwid;Four;Five;weekly;y;Five;Three;bad profit
328;Young;Middle;m;married;Two;Two;monthly;y;Three;Two;bad profit
329;Old;Middle;f;divsepwid;Four;Five;weekly;y;Five;Three;good risk
330;Old;Middle;f;divsepwid;Four;Five;weekly;y;Three;Three;bad profit
331;Young;Middle;m;married;Two;Zero;monthly;y;Three;Two;bad loss
332;Young;Middle;m;single;One;Two;weekly;y;One;One;bad profit
333;Young;Middle;f;married;Two;Two;weekly;y;Three;Two;bad profit
334;Young;Middle;m;married;One;Two;monthly;y;One;One;bad profit
335;Old;Middle;f;divsepwid;Four;Five;weekly;y;Four;Three;bad profit
336;Young;Middle;f;married;One;Zero;weekly;y;One;One;bad profit
337;Young;Middle;f;single;One;Two;weekly;n;Two;One;bad profit
338;Young;Middle;f;single;Zero;One;weekly;n;Two;One;bad profit
339;Old;Middle;f;married;Two;Three;monthly;y;Five;One;bad loss
340;Young;Middle;m;married;One;Two;monthly;y;Three;One;bad profit
341;Middle;Middle;m;single;Zero;Three;weekly;n;One;One;good risk
342;Young;Middle;m;single;One;One;monthly;n;Three;One;bad profit
343;Old;Middle;m;married;Three;Four;monthly;y;Four;Two;bad loss
344;Young;Middle;f;single;Zero;Three;monthly;y;Two;One;bad profit
345;Young;Middle;m;married;One;One;monthly;y;Two;One;bad profit
346;Young;Middle;f;single;Zero;Two;weekly;y;One;One;bad profit
347;Young;Middle;f;single;Zero;One;monthly;y;Two;One;bad profit
348;Young;Middle;f;single;One;One;monthly;n;One;One;bad profit
349;Middle;Middle;m;married;One;One;monthly;y;One;One;bad profit
350;Young;Middle;m;married;One;One;monthly;y;Three;Two;bad profit
351;Young;Middle;f;married;Two;One;monthly;y;Three;One;bad profit
352;Middle;Middle;m;single;One;Two;weekly;y;Three;One;bad profit
353;Old;Middle;f;divsepwid;Three;Five;weekly;n;Three;Three;bad profit
354;Young;Middle;f;married;Two;Zero;weekly;y;Three;One;bad profit
355;Young;Middle;f;married;One;Two;weekly;y;Two;Two;bad profit
356;Middle;Middle;f;married;One;Zero;monthly;y;One;Two;bad profit
357;Middle;Middle;m;single;Zero;Two;weekly;n;Three;One;bad profit
358;Young;Middle;m;married;Two;Two;weekly;y;Two;One;bad profit
359;Young;Middle;m;single;Zero;One;weekly;n;Two;One;bad profit
360;Young;Middle;f;married;Two;Two;weekly;y;Three;One;bad loss
361;Young;Middle;f;married;One;Zero;monthly;y;One;One;bad profit
362;Young;Middle;m;married;One;One;weekly;y;Two;One;bad profit
363;Young;Middle;m;divsepwid;Two;Five;weekly;n;Four;Three;bad loss
364;Young;Middle;f;married;One;Zero;monthly;y;One;Two;bad profit
365;Young;Middle;m;single;Zero;Three;weekly;y;One;One;bad profit
366;Young;Middle;m;married;One;One;weekly;y;Three;One;bad loss
367;Young;Middle;m;married;One;Zero;monthly;y;Two;Two;bad profit
368;Old;Middle;f;married;Two;Three;weekly;y;Four;One;bad loss
369;Young;Middle;m;married;Two;One;weekly;y;Three;One;bad profit
370;Young;Middle;m;married;Two;One;weekly;y;Three;Two;bad profit
371;Young;Middle;f;single;Zero;Two;weekly;n;Three;One;bad profit
372;Young;Middle;f;single;Zero;One;weekly;n;Three;One;bad profit
373;Young;Middle;f;single;One;Two;monthly;y;Three;One;bad profit
374;Young;Middle;m;single;One;One;weekly;n;Two;One;bad profit
375;Young;Middle;m;married;One;Two;weekly;y;One;One;bad profit
376;Young;Middle;m;married;One;Zero;weekly;y;Two;Two;bad profit
377;Middle;Middle;f;divsepwid;Two;Six;weekly;n;Three;Three;bad profit
378;Old;Middle;m;divsepwid;Three;Five;weekly;n;Four;Two;bad loss
379;Young;Middle;m;married;Two;Two;monthly;y;Two;Two;bad profit
380;Young;Middle;m;married;Two;One;monthly;y;Three;One;bad loss
381;Middle;Middle;f;married;Two;Zero;monthly;y;One;Two;bad profit
382;Young;Middle;f;single;Zero;One;monthly;y;Two;One;bad profit
383;Middle;Middle;f;single;Zero;Three;monthly;y;One;One;bad profit
384;Middle;Middle;f;married;Two;Zero;weekly;y;Three;Two;bad profit
385;Old;Middle;f;divsepwid;Two;Five;weekly;n;Three;Two;bad profit
386;Old;Middle;f;divsepwid;Four;Six;weekly;y;Four;Three;bad loss
